Rank,Artist,Song,Year,ArtistSong
4,Otis Redding,(Sittin’ On) The Dock Of The Bay,1968,Otis Redding(Sittin’ On) The Dock Of The Bay
5,Rascals,People Got To Be Free,1968,RascalsPeople Got To Be Free
6,Cream,Sunshine Of Your Love,1968,CreamSunshine Of Your Love
7,Herb Alpert,This Guy’s In Love With You,1968,Herb AlpertThis Guy’s In Love With You
8,Hugo Montenegro,"The Good, The Bad And The Ugly",1968,"Hugo MontenegroThe Good, The Bad And The Ugly"
9,Simon and Garfunkel,Mrs. Robinson,1968,Simon and GarfunkelMrs. Robinson
10,Archie Bell and The Drells,Tighten Up,1968,Archie Bell and The DrellsTighten Up
1,Archies,"Sugar, Sugar",1969,"ArchiesSugar, Sugar"
2,Fifth Dimension,Aquarius / Let The Sunshine In,1969,Fifth DimensionAquarius / Let The Sunshine In
3,Temptations,I Can’t Get Next To You,1969,TemptationsI Can’t Get Next To You
4,Rolling Stones,Honky Tonk Women,1969,Rolling StonesHonky Tonk Women
5,Sly and The Family Stone,Everyday People,1969,Sly and The Family StoneEveryday People
6,Tommy Roe,Dizzy,1969,Tommy RoeDizzy
7,Sly and The Family Stone,Hot Fun In The Summertime,1969,Sly and The Family StoneHot Fun In The Summertime
8,Tom Jones,I’ll Never Fall In Love Again,1969,Tom JonesI’ll Never Fall In Love Again
9,Foundations,Build Me Up Buttercup,1969,FoundationsBuild Me Up Buttercup
10,Tommy James and The Shondells,Crimson And Clover,1969,Tommy James and The ShondellsCrimson And Clover
1,Simon and Garfunkel,Bridge Over Troubled Water,1970,Simon and GarfunkelBridge Over Troubled Water
2,Carpenters,(They Long To Be) Close To You,1970,Carpenters(They Long To Be) Close To You
3,Guess Who,American Woman / No Sugar Tonight,1970,Guess WhoAmerican Woman / No Sugar Tonight
4,B.J. Thomas,Raindrops Keep Fallin’ On My Head,1970,B.J. ThomasRaindrops Keep Fallin’ On My Head
5,Edwin Starr,War,1970,Edwin StarrWar
6,Diana Ross,Ain’t No Mountain High Enough,1970,Diana RossAin’t No Mountain High Enough
7,Jackson 5,I’ll Be There,1970,Jackson 5I’ll Be There
8,Rare Earth,Get Ready,1970,Rare EarthGet Ready
9,Beatles,Let It Be,1970,BeatlesLet It Be
10,Freda Payne,Band Of Gold,1970,Freda PayneBand Of Gold
1,Three Dog Night,Joy To The World,1971,Three Dog NightJoy To The World
2,Rod Stewart,Maggie May / (Find A) Reason To Believe,1971,Rod StewartMaggie May / (Find A) Reason To Believe
3,Carole King,It’s Too Late / I Feel The Earth Move,1971,Carole KingIt’s Too Late / I Feel The Earth Move
4,Osmonds,One Bad Apple,1971,OsmondsOne Bad Apple
5,Bee Gees,How Can You Mend A Broken Heart,1971,Bee GeesHow Can You Mend A Broken Heart
6,Raiders,Indian Reservation,1971,RaidersIndian Reservation
7,Donny Osmond,Go Away Little Girl,1971,Donny OsmondGo Away Little Girl
8,John Denver,"Take Me Home, Country Roads",1971,"John DenverTake Me Home, Country Roads"
9,Temptations,Just My Imagination (Running Away With Me),1971,TemptationsJust My Imagination (Running Away With Me)
10,Dawn,Knock Three Times,1971,DawnKnock Three Times
1,Roberta Flack,The First Time Ever I Saw Your Face,1972,Roberta FlackThe First Time Ever I Saw Your Face
2,Gilbert O’Sullivan,Alone Again (Naturally),1972,Gilbert O’SullivanAlone Again (Naturally)
3,Don McLean,American Pie,1972,Don McLeanAmerican Pie
4,Nilsson,Without You,1972,NilssonWithout You
5,Sammy Davis Jr.,Candy Man,1972,Sammy Davis Jr.Candy Man
6,Joe Tex,I Gotcha,1972,Joe TexI Gotcha
7,Bill Withers,Lean On Me,1972,Bill WithersLean On Me
8,Mac Davis,Baby Don’t Get Hooked On Me,1972,Mac DavisBaby Don’t Get Hooked On Me
9,Melanie,Brand New Key,1972,MelanieBrand New Key
10,Wayne Newton,Daddy Dont You Walk So Fast,1972,Wayne NewtonDaddy Dont You Walk So Fast
1,Tony Orlando and Dawn,Tie A Yellow Ribbon ‘Round The Ole Oak Tree,1973,Tony Orlando and DawnTie A Yellow Ribbon ‘Round The Ole Oak Tree
2,Jim Croce,Bad Bad Leroy Brown,1973,Jim CroceBad Bad Leroy Brown
3,Roberta Flack,Killing Me Softly With His Song,1973,Roberta FlackKilling Me Softly With His Song
4,Marvin Gaye,Let’s Get It On,1973,Marvin GayeLet’s Get It On
5,Paul McCartney and Wings,My Love,1973,Paul McCartney and WingsMy Love
6,Kris Kristofferson,Why Me,1973,Kris KristoffersonWhy Me
7,Elton John,Crocodile Rock,1973,Elton JohnCrocodile Rock
8,Billy Preston,Will It Go Round In Circles,1973,Billy PrestonWill It Go Round In Circles
9,Carly Simon,You’re So Vain,1973,Carly SimonYou’re So Vain
10,Diana Ross,Touch Me In The Morning,1973,Diana RossTouch Me In The Morning
1,Barbra Streisand,The Way We Were,1974,Barbra StreisandThe Way We Were
2,Terry Jacks,Seasons In The Sun,1974,Terry JacksSeasons In The Sun
3,Love Unlimited Orchestra,Love’s Theme,1974,Love Unlimited OrchestraLove’s Theme
4,Redbone,Come And Get Your Love,1974,RedboneCome And Get Your Love
5,Jackson 5,Dancing Machine,1974,Jackson 5Dancing Machine
6,Grand Funk Railroad,The Loco-Motion,1974,Grand Funk RailroadThe Loco-Motion
7,MFSB,TSOP,1974,MFSBTSOP
8,Ray Stevens,The Streak,1974,Ray StevensThe Streak
9,Elton John,Bennie And The Jets,1974,Elton JohnBennie And The Jets
10,Mac Davis,One Hell Of A Woman,1974,Mac DavisOne Hell Of A Woman
1,Captain and Tennille,Love Will Keep Us Together,1975,Captain and TennilleLove Will Keep Us Together
2,Glen Campbell,Rhinestone Cowboy,1975,Glen CampbellRhinestone Cowboy
3,Elton John,Philadelphia Freedom,1975,Elton JohnPhiladelphia Freedom
4,Freddy Fender,Before The Next Teardrop Falls,1975,Freddy FenderBefore The Next Teardrop Falls
5,Frankie Valli,My Eyes Adored You,1975,Frankie ValliMy Eyes Adored You
6,"Earth, Wind and Fire",Shining Star,1975,"Earth, Wind and FireShining Star"
7,David Bowie,Fame,1975,David BowieFame
8,Neil Sedaka,Laughter In The Rain,1975,Neil SedakaLaughter In The Rain
9,Eagles,One Of These Nights,1975,EaglesOne Of These Nights
10,John Denver,Thank God I’m A Country Boy,1975,John DenverThank God I’m A Country Boy
1,Wings,Silly Love Songs,1976,WingsSilly Love Songs
2,Elton John and Kiki Dee,Don’t Go Breaking My Heart,1976,Elton John and Kiki DeeDon’t Go Breaking My Heart
3,Johnnie Taylor,Disco Lady,1976,Johnnie TaylorDisco Lady
4,Four Seasons,"December, 1963 (Oh, What A Night)",1976,"Four SeasonsDecember, 1963 (Oh, What A Night)"
5,Wild Cherry,Play That Funky Music,1976,Wild CherryPlay That Funky Music
6,Manhattans,Kiss And Say Goodbye,1976,ManhattansKiss And Say Goodbye
7,The Miracles,Love Machine (Part 1),1976,The MiraclesLove Machine (Part 1)
8,Paul Simon,50 Ways To Leave Your Lover,1976,Paul Simon50 Ways To Leave Your Lover
9,Gary Wright,Love Is Alive,1976,Gary WrightLove Is Alive
10,Walter Murphy and The Big Apple Band,A Fifth Of Beethoven,1976,Walter Murphy and The Big Apple BandA Fifth Of Beethoven
1,Rod Stewart,Tonight’s The Night (Gonna Be Alright),1977,Rod StewartTonight’s The Night (Gonna Be Alright)
2,Andy Gibb,I Just Want To Be Your Everything,1977,Andy GibbI Just Want To Be Your Everything
3,Emotions,Best Of My Love,1977,EmotionsBest Of My Love
4,Barbra Streisand,Love Theme From “A Star Is Born”,1977,Barbra StreisandLove Theme From “A Star Is Born”
5,Hot,Angel In Your Arms,1977,HotAngel In Your Arms
6,Kenny Nolan,I Like Dreamin’,1977,Kenny NolanI Like Dreamin’
7,Thelma Houston,Don’t Leave Me This Way,1977,Thelma HoustonDon’t Leave Me This Way
8,Rita Coolidge,(Your Love Has Lifted Me) Higher And Higher,1977,Rita Coolidge(Your Love Has Lifted Me) Higher And Higher
9,Alan O’Day,Undercover Angel,1977,Alan O’DayUndercover Angel
10,Mary MacGregor,Torn Between Two Lovers,1977,Mary MacGregorTorn Between Two Lovers
1,Andy Gibb,Shadow Dancing,1978,Andy GibbShadow Dancing
2,Bee Gees,Night Fever,1978,Bee GeesNight Fever
3,Debby Boone,You Light Up My Life,1978,Debby BooneYou Light Up My Life
4,Bee Gees,Stayin’ Alive,1978,Bee GeesStayin’ Alive
5,Exile,Kiss You All Over,1978,ExileKiss You All Over
6,Bee Gees,How Deep Is Your Love,1978,Bee GeesHow Deep Is Your Love
7,Player,Baby Come Back,1978,PlayerBaby Come Back
8,Andy Gibb,(Love Is) Thicker Than Water,1978,Andy Gibb(Love Is) Thicker Than Water
9,A Taste Of Honey,Boogie Oogie Oogie,1978,A Taste Of HoneyBoogie Oogie Oogie
10,Commodores,Three Times A Lady,1978,CommodoresThree Times A Lady
1,Knack,My Sharona,1979,KnackMy Sharona
2,Donna Summer,Bad Girls,1979,Donna SummerBad Girls
3,Chic,Le Freak,1979,ChicLe Freak
4,Rod Stewart,Da Ya Think I’m Sexy,1979,Rod StewartDa Ya Think I’m Sexy
5,Peaches and Herb,Reunited,1979,Peaches and HerbReunited
6,Gloria Gaynor,I Will Survive,1979,Gloria GaynorI Will Survive
7,Donna Summer,Hot Stuff,1979,Donna SummerHot Stuff
8,Village People,Y.M.C.A.,1979,Village PeopleY.M.C.A.
9,Anita Ward,Ring My Bell,1979,Anita WardRing My Bell
10,Robert John,Sad Eyes,1979,Robert JohnSad Eyes
1,Blondie,Call Me,1980,BlondieCall Me
2,Pink Floyd,Another Brick In The Wall,1980,Pink FloydAnother Brick In The Wall
3,Olivia Newton-John,Magic,1980,Olivia Newton-JohnMagic
4,Michael Jackson,Rock With You,1980,Michael JacksonRock With You
5,Captain and Tennille,Do That To Me One More Time,1980,Captain and TennilleDo That To Me One More Time
6,Queen,Crazy Little Thing Called Love,1980,QueenCrazy Little Thing Called Love
7,Paul McCartney,Coming Up,1980,Paul McCartneyComing Up
8,"Lipps, Inc.",Funkytown,1980,"Lipps, Inc.Funkytown"
9,Billy Joel,It’s Still Rock And Roll To Me,1980,Billy JoelIt’s Still Rock And Roll To Me
10,Bette Midler,The Rose,1980,Bette MidlerThe Rose
1,Kim Carnes,Bette Davis Eyes,1981,Kim CarnesBette Davis Eyes
2,Diana Ross and Lionel Richie,Endless Love,1981,Diana Ross and Lionel RichieEndless Love
3,Kenny Rogers,Lady,1981,Kenny RogersLady
4,John Lennon,(Just Like) Starting Over,1981,John Lennon(Just Like) Starting Over
5,Rick Springfield,Jessie’s Girl,1981,Rick SpringfieldJessie’s Girl
6,Kool and The Gang,Celebration,1981,Kool and The GangCelebration
7,Daryl Hall and John Oates,Kiss On My List,1981,Daryl Hall and John OatesKiss On My List
8,Eddie Rabbitt,I Love A Rainy Night,1981,Eddie RabbittI Love A Rainy Night
9,Dolly Parton,9 To 5,1981,Dolly Parton9 To 5
10,REO Speedwagon,Keep On Loving You,1981,REO SpeedwagonKeep On Loving You
1,Olivia Newton-John,Physical,1982,Olivia Newton-JohnPhysical
2,Survivor,Eye Of The Tiger,1982,SurvivorEye Of The Tiger
3,Joan Jett and The Blackhearts,I Love Rock N’ Roll,1982,Joan Jett and The BlackheartsI Love Rock N’ Roll
