URI,Artist,Songs,Release Date,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence,WH,War?,,,,,,,,,
spotify:track:2goLsvvODILDzeeiT4dAoR,Cher,Believe,1999,75,0.0082,0.652,0.917,0,-6.72,0.0548,132.975,0.459,D,Peace,,,,,,,,,
spotify:track:1KGi9sZVMeszgZOWivFpxs,TLC,No Scrubs,1999,79,0.0251,0.743,0.675,0.000717,-4.267,0.0953,92.909,0.59,D,Peace,,,,,,,,,
spotify:track:1AM1o0mKbgAK5oMpY8B3Z7,Monica,Angel of Mine - Radio Mix,1999,66,0.00373,0.592,0.562,3.23E-05,-6.869,0.0239,90.16,0.208,D,Peace,,,,,,,,,
spotify:track:4J9u7UsXH7F6sFI32KnYuP,Whitney Houston,Heartbreak Hotel (feat. Faith Evans & Kelly Price),1999,50,0.0477,0.724,0.535,0,-7.616,0.0588,133.816,0.664,D,Peace,,,,,,,,,
spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,Britney Spears,...Baby One More Time,1999,75,0.202,0.759,0.699,0.000131,-5.745,0.0307,92.96,0.907,D,Peace,,,,,,,,,
spotify:track:754kgU5rWscRTfvlsuEwFp,Sixpence None The Richer,Kiss Me,1999,76,0.023,0.526,0.749,1.76E-06,-6.964,0.0283,99.982,0.421,D,Peace,,,,,,,,,
spotify:track:11mwFrKvLXCbcVGNxffGyP,Christina Aguilera,Genie In a Bottle,1999,71,0.21,0.627,0.8,0.000123,-6.945,0.162,175.815,0.912,D,Peace,,,,,,,,,
spotify:track:2ouURa1AIXp3AvkS52Jry5,Sugar Ray,Every Morning,1999,64,0.0834,0.833,0.679,0.00258,-4.496,0.0365,109.916,0.975,D,Peace,,,,,,,,,
spotify:track:0Ph6L4l8dYUuXFmb71Ajnd,Ricky Martin,Livin' la Vida Loca,1999,71,0.00411,0.425,0.954,0,-3.756,0.0476,178.043,0.933,D,Peace,,,,,,,,,
spotify:track:3y4LxiYMgDl4RethdzpmNe,Faith Hill,Breathe,2000,63,0.173,0.529,0.496,0,-9.007,0.029,136.859,0.278,D,Peace,,,,,,,,,
